year,state,size,vs_p,vs_v,vs_c,vs_o,hs_p,hs_v,hs_c,pop_p,pop_v,pop_c,pop_o,winner
2024,AK,9,0.0,0.0,0.0,1.0,0,0,0,0.0,0.11,0.11,0.78,P
2024,AL,34,0.03,0.71,0.0,0.26,0,1,0,0.12,0.5,0.12,0.26,V
2024,AR,5,0.0,0.2,0.0,0.8,0,0,0,0.4,0.2,0.0,0.4,V
2024,AZ,21,0.0,0.0,0.05,0.95,0,0,0,0.48,0.0,0.14,0.38,V
2024,CA,8,0.0,0.0,0.0,1.0,0,0,0,0.12,0.25,0.12,0.51,P
2024,CO,1,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,P
2024,CT,4,0.25,0.25,0.0,0.5,0,0,0,0.0,0.0,0.25,0.75,P
2024,DE,1,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,V
2024,FL,50,0.2,0.06,0.1,0.64,0,0,0,0.34,0.32,0.08,0.26,P
2024,GA,30,0.13,0.17,0.1,0.6,0,0,0,0.57,0.2,0.03,0.2,P
2024,HI,3,0.0,0.33,0.0,0.67,0,0,0,0.0,0.67,0.0,0.33,P
2024,IA,12,0.17,0.42,0.08,0.33,0,0,0,0.58,0.08,0.08,0.26,V
2024,ID,10,0.2,0.1,0.1,0.6,0,0,0,0.2,0.5,0.1,0.2,P
2024,IL,11,0.18,0.18,0.09,0.55,0,0,0,0.36,0.36,0.0,0.28,P
2024,IN,8,0.0,0.0,0.25,0.75,0,0,1,0.25,0.12,0.5,0.13,C
2024,KS,3,0.0,0.0,0.33,0.67,0,0,0,0.0,0.33,0.33,0.34,P
2024,KY,10,0.1,0.0,0.0,0.9,0,0,0,0.1,0.2,0.6,0.1,P
2024,LA,9,0.11,0.0,0.0,0.89,0,0,0,0.33,0.0,0.0,0.67,P
2024,MD,4,0.5,0.0,0.0,0.5,0,0,0,0.25,0.0,0.0,0.75,P
2024,ME,1,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,P
2024,MI,23,0.0,0.0,0.09,0.91,0,0,0,0.65,0.04,0.0,0.31,P
2024,MN,4,0.0,0.0,0.25,0.75,0,0,0,0.25,0.0,0.0,0.75,P
2024,MO,33,0.09,0.09,0.0,0.82,0,0,0,0.21,0.21,0.09,0.49,P
2024,MS,16,0.38,0.0,0.12,0.5,1,0,0,0.38,0.06,0.25,0.31,P
2024,MT,2,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.5,0.5,V
2024,NC,23,0.61,0.04,0.04,0.31,1,0,0,0.52,0.22,0.04,0.22,P
2024,ND,3,0.0,0.0,0.67,0.33,0,0,0,0.0,0.0,0.33,0.67,C
2024,NE,6,0.0,0.0,0.0,1.0,0,0,0,0.33,0.17,0.17,0.33,C
2024,NH,6,0.0,0.0,0.67,0.33,0,0,0,0.0,0.0,0.0,1.0,C
2024,NM,6,0.17,0.0,0.17,0.66,0,0,0,0.5,0.33,0.0,0.17,V
2024,NV,11,0.09,0.0,0.0,0.91,0,0,0,0.09,0.55,0.0,0.36,P
2024,NY,10,0.1,0.1,0.4,0.4,0,0,0,0.0,0.2,0.6,0.2,P
2024,OH,5,0.2,0.0,0.0,0.8,0,0,0,0.0,0.0,0.2,0.8,P
2024,OK,26,0.0,0.04,0.0,0.96,0,0,0,0.27,0.27,0.19,0.27,C
2024,OR,2,0.0,0.0,0.0,1.0,0,0,0,0.5,0.0,0.0,0.5,C
2024,PA,3,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.33,0.67,C
2024,SC,6,0.0,0.0,0.0,1.0,0,0,0,0.33,0.17,0.0,0.5,P
2024,SD,8,0.5,0.0,0.0,0.5,0,0,0,0.38,0.25,0.25,0.12,P
2024,TN,21,0.14,0.14,0.29,0.43,0,0,1,0.29,0.29,0.14,0.28,C
2024,TX,32,0.09,0.12,0.0,0.79,0,0,0,0.41,0.34,0.0,0.25,P
2024,UT,4,0.25,0.0,0.0,0.75,0,0,0,0.5,0.0,0.0,0.5,P
2024,VA,14,0.07,0.0,0.0,0.93,0,0,0,0.43,0.07,0.07,0.43,P
2024,VT,2,0.0,0.0,0.5,0.5,0,0,0,0.0,0.0,0.5,0.5,C
2024,WA,3,0.0,0.0,0.33,0.67,0,0,0,0.33,0.0,0.0,0.67,C
2024,WI,1,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,P
2024,WV,6,0.5,0.0,0.0,0.5,0,0,0,0.5,0.0,0.17,0.33,P
2024,WY,4,0.0,0.25,0.0,0.75,0,0,0,0.0,0.25,0.0,0.75,V
2023,IN,18,0.11,0.0,0.06,0.83,0,0,0,0.33,0.28,0.33,0.06,P
2023,TX,80,0.12,0.11,0.03,0.74,0,0,0,0.53,0.28,0.11,0.08,V
2023,NE,11,0.27,0.0,0.0,0.73,0,0,0,0.45,0.27,0.18,0.1,P
2023,SD,11,0.27,0.18,0.0,0.55,0,0,0,0.09,0.36,0.36,0.19,V
2023,AL,48,0.06,0.04,0.04,0.86,0,0,0,0.38,0.48,0.12,0.02,P
2023,CA,7,0.0,0.43,0.43,0.14,0,0,0,0.0,0.57,0.43,0.0,V
2023,FL,109,0.1,0.01,0.06,0.83,0,0,1,0.39,0.25,0.33,0.03,P
2023,AZ,12,0.0,0.0,0.25,0.75,0,0,0,0.17,0.0,0.75,0.08,C
2023,WY,3,0.0,0.0,0.0,1.0,0,0,0,0.33,0.67,0.0,0.0,V
2023,MS,19,0.0,0.11,0.11,0.78,0,0,0,0.21,0.11,0.53,0.15,P
2023,AR,16,0.12,0.0,0.06,0.82,0,0,0,0.62,0.0,0.25,0.13,P
2023,NC,33,0.03,0.03,0.12,0.82,0,0,0,0.21,0.33,0.36,0.1,P
2023,TN,55,0.15,0.0,0.0,0.85,1,0,0,0.53,0.29,0.16,0.02,P
2023,MO,47,0.21,0.11,0.04,0.64,0,1,0,0.57,0.15,0.26,0.02,P
2023,KS,6,0.17,0.0,0.5,0.33,0,0,0,0.17,0.0,0.67,0.16,C
2023,DE,4,0.0,0.25,0.0,0.75,0,0,0,0.25,0.75,0.0,0.0,V
2023,AK,4,0.0,0.0,0.0,1.0,0,0,0,0.0,0.75,0.0,0.25,P
2023,GA,60,0.13,0.12,0.0,0.75,0,0,0,0.52,0.23,0.2,0.05,P
2023,NY,13,0.0,0.08,0.0,0.92,0,0,0,0.0,0.46,0.54,0.0,P
2023,OK,35,0.31,0.11,0.0,0.58,1,0,0,0.34,0.49,0.14,0.03,P
2023,VA,10,0.2,0.0,0.0,0.8,0,0,0,0.1,0.2,0.5,0.2,P
2023,KY,5,0.0,0.0,0.0,1.0,0,0,0,0.0,0.2,0.4,0.4,P
2023,SC,18,0.22,0.0,0.0,0.78,0,0,0,0.33,0.17,0.33,0.17,P
2023,IL,23,0.0,0.04,0.04,0.92,0,0,0,0.57,0.35,0.09,-0.01,V
2023,OR,7,0.0,0.0,0.14,0.86,0,0,1,0.29,0.14,0.29,0.28,C
2023,NV,14,0.14,0.14,0.0,0.72,0,0,0,0.29,0.64,0.0,0.07,V
2023,WA,3,0.0,0.0,0.0,1.0,0,0,0,0.0,0.67,0.33,0.0,P
2023,ND,4,0.25,0.0,0.25,0.5,0,0,0,0.5,0.0,0.0,0.5,P
2023,MI,25,0.0,0.0,0.0,1.0,0,0,0,0.76,0.12,0.04,0.08,P
2023,ID,2,0.0,0.0,0.0,1.0,0,0,0,0.5,0.5,0.0,0.0,P
2023,IA,6,0.33,0.0,0.0,0.67,0,0,0,0.83,0.0,0.0,0.17,P
2023,MD,6,0.0,0.17,0.0,0.83,0,0,0,0.33,0.33,0.33,0.01,P
2023,PA,7,0.0,0.0,0.0,1.0,0,0,0,0.71,0.14,0.14,0.01,P
2023,OH,10,0.0,0.3,0.2,0.5,0,0,0,0.3,0.2,0.5,0.0,V
2023,MN,1,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,V
2023,WI,4,0.0,0.75,0.0,0.25,0,0,0,0.25,0.0,0.75,0.0,V
2023,CT,8,0.0,0.25,0.0,0.75,0,1,0,0.0,0.25,0.75,0.0,V
2023,UT,2,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,C
2023,LA,26,0.0,0.0,0.0,1.0,0,0,0,0.58,0.12,0.31,-0.01,P
2023,MT,2,0.0,0.0,0.0,1.0,0,0,0,0.0,0.5,0.0,0.5,P
2023,HI,1,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,P
2023,CO,5,0.0,0.0,0.0,1.0,0,0,0,0.4,0.0,0.2,0.4,P
2023,WV,17,0.0,0.0,0.29,0.71,0,0,0,0.12,0.29,0.59,0.0,C
2023,MA,1,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,V
2024,AL,33,0.0,0.42,0.0,0.58,0,1,0,0.3,0.48,0.18,0.04,V
2024,AK,8,0.0,0.0,0.0,1.0,0,0,0,0.25,0.25,0.38,0.12,P
2024,AZ,11,0.0,0.0,0.0,1.0,0,0,0,0.55,0.18,0.18,0.09,V
2024,AR,14,0.0,0.07,0.0,0.93,0,0,0,0.71,0.07,0.14,0.08,V
2024,FL,112,0.03,0.01,0.01,0.95,0,0,0,0.37,0.44,0.16,0.03,P
2024,GA,46,0.02,0.04,0.02,0.92,0,0,0,0.5,0.37,0.09,0.04,P
2024,ID,8,0.0,0.0,0.0,1.0,0,0,0,0.38,0.5,0.12,0.0,P
2024,IL,16,0.0,0.06,0.0,0.94,0,0,0,0.44,0.19,0.31,0.06,P
2024,IN,14,0.0,0.0,0.07,0.93,0,0,1,0.29,0.29,0.43,-0.01,C
2024,KS,5,0.0,0.0,0.2,0.8,0,0,0,0.0,0.2,0.8,0.0,P
2024,KY,10,0.0,0.0,0.0,1.0,0,0,0,0.2,0.0,0.7,0.1,P
2024,LA,15,0.0,0.0,0.0,1.0,0,0,0,0.67,0.2,0.13,0.0,V
2024,ME,1,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,P
2024,MD,3,0.33,0.0,0.0,0.67,0,0,0,0.33,0.0,0.67,0.0,P
2024,MI,26,0.0,0.0,0.0,1.0,0,0,0,0.73,0.08,0.12,0.07,P
2024,MS,34,0.15,0.0,0.03,0.82,1,0,0,0.41,0.18,0.35,0.06,P
2024,MO,38,0.05,0.03,0.0,0.92,0,0,0,0.37,0.26,0.32,0.05,P
2024,NE,14,0.0,0.0,0.0,1.0,0,0,0,0.64,0.21,0.14,0.01,C
2024,NM,4,0.25,0.0,0.0,0.75,0,0,0,0.75,0.0,0.25,0.0,V
2024,NY,15,0.0,0.07,0.27,0.66,0,0,0,0.13,0.13,0.73,0.01,P
2024,NC,34,0.29,0.0,0.03,0.68,1,0,0,0.62,0.18,0.21,-0.01,P
2024,OH,4,0.25,0.0,0.0,0.75,0,0,0,0.5,0.0,0.5,0.0,P
2024,OK,49,0.0,0.02,0.0,0.98,0,0,0,0.41,0.16,0.43,0.0,C
2024,OR,4,0.0,0.0,0.0,1.0,0,0,0,0.25,0.0,0.25,0.5,C
2024,SC,10,0.0,0.0,0.0,1.0,0,0,0,0.5,0.2,0.3,0.0,P
2024,SD,10,0.1,0.0,0.0,0.9,0,0,0,0.2,0.5,0.3,0.0,P
2024,TN,54,0.02,0.0,0.13,0.85,0,0,1,0.44,0.33,0.19,0.04,C
2024,TX,78,0.01,0.05,0.0,0.94,0,0,0,0.56,0.28,0.12,0.04,P
2024,UT,1,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,P
2024,VT,1,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,1.0,0.0,C
2024,VA,18,0.0,0.0,0.0,1.0,0,0,0,0.22,0.11,0.22,0.45,P
2024,WV,14,0.36,0.0,0.0,0.64,0,0,0,0.43,0.36,0.21,0.0,P
2024,WY,2,0.0,0.0,0.0,1.0,0,0,0,0.5,0.0,0.5,0.0,V
2024,IA,12,0.0,0.42,0.08,0.5,0,0,0,0.83,0.0,0.08,0.09,V
2024,MT,2,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.5,0.5,V
2024,CA,6,0.17,0.0,0.0,0.83,0,0,0,0.17,0.67,0.17,-0.01,P
2024,CO,2,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,P
2024,DE,3,0.33,0.0,0.0,0.67,0,0,0,0.67,0.33,0.0,0.0,V
2024,HI,2,0.0,0.0,0.0,1.0,0,0,0,0.5,0.5,0.0,0.0,P
2024,MN,1,0.0,0.0,1.0,0.0,0,0,0,1.0,0.0,0.0,0.0,P
2024,NV,18,0.0,0.0,0.0,1.0,0,0,0,0.17,0.83,0.0,0.0,P
2024,ND,6,0.0,0.0,0.0,1.0,0,0,0,0.5,0.5,0.0,0.0,C
2024,WA,1,0.0,0.0,0.0,1.0,0,0,0,1.0,0.0,0.0,0.0,C
2024,PA,2,0.0,0.0,0.0,1.0,0,0,0,0.0,0.5,0.5,0.0,C
2024,CT,7,0.0,0.29,0.0,0.71,0,0,0,0.0,0.14,0.71,0.15,P
2023,GA,34,0.12,0.12,0.0,0.76,0,0,0,0.47,0.15,0.09,0.29,P
2023,NM,3,0.0,0.67,0.0,0.33,0,0,0,0.33,0.0,0.0,0.67,V
2023,TX,41,0.07,0.2,0.02,0.71,0,0,0,0.39,0.22,0.07,0.32,V
2023,FL,42,0.12,0.02,0.07,0.79,0,0,1,0.36,0.1,0.26,0.28,P
2023,OK,19,0.47,0.16,0.0,0.37,1,0,0,0.37,0.26,0.05,0.32,P
2023,MI,27,0.0,0.0,0.0,1.0,0,0,0,0.63,0.11,0.0,0.26,P
2023,MD,10,0.1,0.2,0.0,0.7,0,0,0,0.4,0.2,0.1,0.3,P
2023,MN,3,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,V
2023,TN,18,0.06,0.0,0.0,0.94,1,0,0,0.17,0.39,0.22,0.22,P
2023,MS,13,0.0,0.08,0.0,0.92,0,0,0,0.15,0.0,0.31,0.54,P
2023,NE,5,0.4,0.0,0.0,0.6,0,0,0,0.2,0.0,0.0,0.8,P
2023,IN,11,0.0,0.09,0.18,0.73,0,0,0,0.09,0.18,0.36,0.37,P
