State,Party,Decided?,Vote
,,,
Indiana,Vision,"Maybe, But I'm Still Open",Truman Forehand/Grant Johnson
,,,
Kentucky,Vision,"Maybe, But I'm Still Open",Truman Forehand/Grant Johnson
,,,
Nebraska,Vision,"Maybe, But I'm Still Open",Truman Forehand/Grant Johnson
,,,
North Carolina,Vision,"Maybe, But I'm Still Open",Truman Forehand/Grant Johnson
,,,
Virginia,Vision,"Maybe, But I'm Still Open",Truman Forehand/Grant Johnson
,,,
Alabama,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Arizona,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Arkansas,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Arkansas,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Louisiana,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Mississippi,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Oklahoma,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Tennessee,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Virginia,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Washington,Perseverance,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Nevada,Vision,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
South Carolina,Vision,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
South Carolina,Vision,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Mississippi,,"Maybe, But I'm Still Open",Carissa Gould/Toby DeMoss
,,,
Arkansas,Compassion,"Maybe, But I'm Still Open",Pettus/Matz
,,,
Michigan,Compassion,"Maybe, But I'm Still Open",Pettus/Matz
,,,
Texas,Compassion,"Maybe, But I'm Still Open",Pettus/Matz
,,,
Montana,Perseverance,"Maybe, But I'm Still Open",Pettus/Matz
,,,
Texas,Vision,"Maybe, But I'm Still Open",Pettus/Matz
,,,
Texas,Vision,"Maybe, But I'm Still Open",Pettus/Matz
,,,
Delaware,Compassion,"Maybe, But I'm Still Open",Noah Streyle/Christa Kaufman
,,,
New York,Vision,"Maybe, But I'm Still Open",Tangel/Usee
,,,
Florida,Perseverance,"Maybe, But I'm Still Open",Undecided
,,,
South Carolina,Perseverance,"Maybe, But I'm Still Open",Undecided
,,,
Georgia,Vision,"Maybe, But I'm Still Open",Undecided
,,,
Louisiana,Perseverance,"Maybe, But I'm Still Open",Wypszinski/Sullivan
,,,
Tennessee,Perseverance,"Maybe, But I'm Still Open",Wypszinski/Sullivan
,,,
South Carolina,Perseverance,"No, I'm Undecided",Carissa Gould/Toby DeMoss
,,,
Iowa,Perseverance,"No, I'm Undecided",Noah Streyle/Christa Kaufman
,,,
Alabama,Compassion,"No, I'm Undecided",Undecided
,,,
Alaska,Compassion,"No, I'm Undecided",Undecided
,,,
Alaska,Compassion,"No, I'm Undecided",Undecided
,,,
Alaska,Compassion,"No, I'm Undecided",Undecided
,,,
Arizona,Compassion,"No, I'm Undecided",Undecided
,,,
Arizona,Compassion,"No, I'm Undecided",Undecided
,,,
Arkansas,Compassion,"No, I'm Undecided",Undecided
,,,
Florida,Compassion,"No, I'm Undecided",Undecided
,,,
Florida,Compassion,"No, I'm Undecided",Undecided
,,,
Florida,Compassion,"No, I'm Undecided",Undecided
,,,
Florida,Compassion,"No, I'm Undecided",Undecided
,,,
Florida,Compassion,"No, I'm Undecided",Undecided
,,,
Florida,Compassion,"No, I'm Undecided",Undecided
,,,
Florida,Compassion,"No, I'm Undecided",Undecided
,,,
Georgia,Compassion,"No, I'm Undecided",Undecided
,,,
Illinois,Compassion,"No, I'm Undecided",Undecided
,,,
Indiana,Compassion,"No, I'm Undecided",Undecided
,,,
Indiana,Compassion,"No, I'm Undecided",Undecided
,,,
Indiana,Compassion,"No, I'm Undecided",Undecided
,,,
Indiana,Compassion,"No, I'm Undecided",Undecided
,,,
Indiana,Compassion,"No, I'm Undecided",Undecided
,,,
Kansas,Compassion,"No, I'm Undecided",Undecided
,,,
Kansas,Compassion,"No, I'm Undecided",Undecided
,,,
Kansas,Compassion,"No, I'm Undecided",Undecided
,,,
Kentucky,Compassion,"No, I'm Undecided",Undecided
,,,
Louisiana,Compassion,"No, I'm Undecided",Undecided
,,,
Louisiana,Compassion,"No, I'm Undecided",Undecided
,,,
Louisiana,Compassion,"No, I'm Undecided",Undecided
,,,
Maine,Compassion,"No, I'm Undecided",Undecided
,,,
Maine,Compassion,"No, I'm Undecided",Undecided
,,,
Maine,Compassion,"No, I'm Undecided",Undecided
,,,
Michigan,Compassion,"No, I'm Undecided",Undecided
,,,
Mississippi,Compassion,"No, I'm Undecided",Undecided
,,,
Nebraska,Compassion,"No, I'm Undecided",Undecided
,,,
Nebraska,Compassion,"No, I'm Undecided",Undecided
,,,
Nebraska,Compassion,"No, I'm Undecided",Undecided
,,,
Nevada,Compassion,"No, I'm Undecided",Undecided
,,,
New York,Compassion,"No, I'm Undecided",Undecided
,,,
North Carolina,Compassion,"No, I'm Undecided",Undecided
,,,
North Carolina,Compassion,"No, I'm Undecided",Undecided
,,,
North Carolina,Compassion,"No, I'm Undecided",Undecided
,,,
Ohio,Compassion,"No, I'm Undecided",Undecided
,,,
Ohio,Compassion,"No, I'm Undecided",Undecided
,,,
Ohio,Compassion,"No, I'm Undecided",Undecided
,,,
Ohio,Compassion,"No, I'm Undecided",Undecided
,,,
Oklahoma,Compassion,"No, I'm Undecided",Undecided
,,,
Oregon,Compassion,"No, I'm Undecided",Undecided
,,,
South Carolina,Compassion,"No, I'm Undecided",Undecided
,,,
Tennessee,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Texas,Compassion,"No, I'm Undecided",Undecided
,,,
Virginia,Compassion,"No, I'm Undecided",Undecided
,,,
Virginia,Compassion,"No, I'm Undecided",Undecided
,,,
Virginia,Compassion,"No, I'm Undecided",Undecided
,,,
Virginia,Compassion,"No, I'm Undecided",Undecided
,,,
Alabama,Parent,"No, I'm Undecided",Undecided
,,,
Alaska,Parent,"No, I'm Undecided",Undecided
,,,
Arkansas,Parent,"No, I'm Undecided",Undecided
,,,
Arkansas,Parent,"No, I'm Undecided",Undecided
,,,
Arkansas,Parent,"No, I'm Undecided",Undecided
,,,
Florida,Parent,"No, I'm Undecided",Undecided
,,,
Florida,Parent,"No, I'm Undecided",Undecided
,,,
Florida,Parent,"No, I'm Undecided",Undecided
,,,
Florida,Parent,"No, I'm Undecided",Undecided
,,,
Louisiana,Parent,"No, I'm Undecided",Undecided
,,,
Louisiana,Parent,"No, I'm Undecided",Undecided
,,,
Louisiana,Parent,"No, I'm Undecided",Undecided
,,,
Maine,Parent,"No, I'm Undecided",Undecided
,,,
Mississippi,Parent,"No, I'm Undecided",Undecided
,,,
Mississippi,Parent,"No, I'm Undecided",Undecided
,,,
Mississippi,Parent,"No, I'm Undecided",Undecided
,,,
Nevada,Parent,"No, I'm Undecided",Undecided
,,,
North Carolina,Parent,"No, I'm Undecided",Undecided
,,,
Oklahoma,Parent,"No, I'm Undecided",Undecided
,,,
Oklahoma,Parent,"No, I'm Undecided",Undecided
,,,
Oklahoma,Parent,"No, I'm Undecided",Undecided
,,,
South Carolina,Parent,"No, I'm Undecided",Undecided
,,,
South Carolina,Parent,"No, I'm Undecided",Undecided
,,,
South Carolina,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
Texas,Parent,"No, I'm Undecided",Undecided
,,,
