Timestamp,State,Are you attending National Convention 2019?,Party,What do you value most in a candidate?,Which of these factors most influences your vote?,Vote,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,How likely are you to change your mind or choose a Presidential ticket at National Convention? ,Do you currently plan to vote for any specific Representative or Senatorial candidates?,"Once elected, how involved in the Administration of the TeenPact nation should Representatives and Senators be?",Which of these candidates do you recognize?
,,,,,,,,,,,
5/15/2019 19:24:26,Connecticut,No,N/A,Humility,Campaign merchandise,Forehand/McDonald,Prior relationship with candidates,It's possible,No,Very involved,"Anna Claire Williams, Caleb Shirk, Chad Fryer, David Gosz, Isaac Richardson, Madelyn McDonald, Patrick Sullivan"
,,,,,,,,,,,
5/15/2019 19:31:41,Indiana,No,N/A,Honesty,Elections Hall table setup,Undecided,Performance during debates,It's possible,No,Moderately involved,"Bradley Conrad, Briley Glisson, Caleb Hahn, Josiah Wolfe, Noah Diaz"
,,,,,,,,,,,
5/15/2019 19:33:03,,Yes,Vision,Confidence,Instagram page,Forehand/McDonald,Personal interaction at National Convention,It's possible,No,Moderately involved,"Abby Murray, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Chad Fryer, Chloe Carlson, Chloe Jo Woodell, Emma Freeland, Isaac Richardson, Josiah Kolar, Josiah Wolfe, Kylee Brandon, Libby Robinson, Liz Daley, Logan Hancock, Luke Bieber, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Patrick Sullivan, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:33:28,Louisiana,No,Vision,Honesty,Elections Hall table setup,Undecided,Performance during debates,It's possible,No,Moderately involved,"Anna Claire Williams, Blake Landry, Chad Fryer, David Gosz, Eva Reynolds, Grace Slack, Lindsey Caba, Logan Hancock, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:33:44,Louisiana,Yes,Compassion,Open-mindedness,Campaign merchandise,Richardson/Benitez,Personal interaction at National Convention,Very likely,No,Moderately involved,"Anna Claire Williams, Blake Landry, Grace Slack, Isaac Richardson, Libby Robinson, Lindsey Caba, Madelyn McDonald, Maggie Megelsh, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:35:16,Virginia,Yes,Vision,Open-mindedness,Elections Hall table setup,Forehand/McDonald,Personal interaction at National Convention,It's possible,No,Moderately involved,"Eva Reynolds, Madelyn McDonald, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:43:14,Connecticut,No,N/A,Honesty,Instagram page,Undecided,Personal interaction at National Convention,It's possible,No,Very involved,"Abby Murray, Anna Claire Williams, Biani Benitez, Briley Glisson, Caleb Shirk, Caroline Gould, Chad Fryer, Charlie Hester, David Gosz, Isaac Richardson, Libby Robinson, Liz Daley, Maggie Megelsh, Meredith Durham, Noah Diaz, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:48:30,,Yes,Perseverance,Confidence,Instagram page,Richardson/Benitez,Prior relationship with candidates,It's possible,No,Moderately involved,"Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Shirk, Caroline Gould, David Gosz, Emma Freeland, Eva Reynolds, Grace Slack, Isaac Richardson, Josiah Kolar, Josiah Wolfe, Libby Robinson, Lindsey Caba, Logan Hancock, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Matthias Haas, Nathan Furlough, Noah Diaz, Patrick Sullivan, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:52:53,Florida,Yes,N/A,Honesty,Instagram page,Forehand/McDonald,Performance during debates,It's possible,No,Very involved,"Abby Murray, Andrew Gwinn, Anna Adams, Anna Claire Williams, Biani Benitez, Blake Landry, Braden Kanyur, Bradley Conrad, Briley Glisson, Caleb Hahn, Caleb Shirk, Caroline Gould, Carter MacDonald, Chad Fryer, Charlie Hester, Chloe Carlson, Daniel McCarthy, David Gosz, Eva Reynolds, Isaac Richardson, Jonathan Crampton, Josiah Kolar, Kylee Brandon, Libby Robinson, Liz Daley, Luke Bieber, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Meredith Durham, Nathan Furlough, Noah Diaz, Olivia Banta, Patrick Sullivan, Taylor Migliore, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 19:55:56,Mississippi,No,Perseverance,Humility,Instagram page,Undecided,Social media presence,It's possible,No,Moderately involved,"Abby Murray, Anna Claire Williams, Biani Benitez, Blake Landry, Bradley Conrad, Caroline Gould, Carter MacDonald, Chloe Jo Woodell, Emma Freeland, Grace Slack, Isaac Richardson, Jonathan Crampton, Jonathan McCallum, Kylee Brandon, Libby Robinson, Lindsey Caba, Lydia Smith, Madelyn McDonald, Maggie Megelsh, Spencer Graham, Toby Forehand"
,,,,,,,,,,,
5/15/2019 19:59:21,North Carolina,Yes,Compassion,Honesty,Elections Hall table setup,Undecided,Personal interaction at National Convention,It's possible,No,Very involved,"Charlie Hester, David Gosz, Eva Reynolds, Madelyn McDonald"
,,,,,,,,,,,
5/15/2019 20:03:16,North Carolina,No,N/A,Open-mindedness,Instagram page,Forehand/McDonald,Prior relationship with candidates,It's possible,No,Moderately involved,
,,,,,,,,,,,
5/15/2019 20:07:19,Indiana,No,N/A,Kindness,Elections Hall table setup,Forehand/McDonald,Performance during debates,It's possible,No,Moderately involved,"Abby Murray, Anna Claire Williams, David Gosz, Eva Reynolds, Isaac Richardson, Meredith Durham, Noah Diaz, Patrick Sullivan, Tessa Lynn, Toby Forehand, William Ferguson"
,,,,,,,,,,,
5/15/2019 20:21:18,South Carolina,Yes,N/A,Humor,Campaign posters,Undecided,Campaign team outreach,It's possible,No,Moderately involved,"Liz Daley, Logan Hancock"
,,,,,,,,,,,
5/15/2019 20:25:14,Oregon,No,Compassion,Honesty,Instagram page,Undecided,Personal interaction at National Convention,It's possible,No,Moderately involved,"Biani Benitez, Bradley Conrad, Chad Fryer, Isaac Richardson, Josiah Wolfe, Kylee Brandon, Libby Robinson, Logan Hancock, Madelyn McDonald, Meredith Durham, Toby Forehand"
,,,,,,,,,,,
5/15/2019 20:35:08,Louisiana,Yes,Vision,Kindness,Elections Hall table setup,Undecided,Prior relationship with candidates,It's possible,No,Slightly involved,Blake Landry
,,,,,,,,,,,
5/15/2019 20:36:23,Nebraska,No,N/A,Confidence,Elections Hall table setup,Undecided,Personal interaction at National Convention,Out of the question,No,Moderately involved,"Anna Claire Williams, Bradley Conrad, Josiah Kolar"
,,,,,,,,,,,
5/15/2019 20:43:50,Florida,No,N/A,Confidence,Instagram page,Undecided,Performance during debates,Very likely,No,Very involved,"Anna Adams, Briley Glisson, Chad Fryer, Charlie Hester, Emma Freeland, Isaac Richardson, Jonathan Crampton, Kylee Brandon, Libby Robinson, Logan Hancock, Luke Bieber, Maggie Megelsh, Patrick Sullivan, Toby Forehand, William Ferguson"
,,,,,,,,,,,
