Timestamp,State,Are you attending National Convention 2021 in person?,Party,Have you decided on a presidential ticket?,Vote,Are you open to changing your mind?,Which of these factors most greatly influences your decision to support a specific Presidential ticket?,What do you value most in a candidate?,Are you more likely to cast your vote based upon an individual or a message?,Do you have a personal Instagram account?,How important is a candidate's social media presence?,Which of the following influences your vote the most?,How many years have you been involved with TeenPact?,Which of the following candidate's names do you recognize?
5/18/2021 12:33:30,Texas,Yes,Compassion,No,Tara Beth Forehand/Lydia Graham,Yes,Social media presence,Open-mindedness,Message,Yes,Very,Social Media presence,4-5,"Tara Beth Forehand, Max Zepeda"
5/18/2021 12:33:46,Tennessee,No,Vision,Yes,Elise Hof/Brock Freeland,No,Prior relationship with candidates,Leads by example,Individual,Yes,Very,Social Media presence,2-3,"Caroline Allen, Jackson Archer, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Jake Brietzke, Reese Chatman, Isaac Cullum, Noah Diaz, Heidi Dillow, Evie Erickson, Gabrielle Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Caleb Hahn, Victoria Hemphill, Elise Hof, Noah Kent, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Hannah Nelson, Rhianna Philcox, Brennan Roub, Cassie Sawyer, Caleb Shirk, Macie Smith, Linnea Stuart, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Leah Wilson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:34:35,Tennessee,Yes,Vision,Yes,Elise Hof/Brock Freeland,Yes,Prior relationship with candidates,Confidence,Individual,Yes,Very,Campaign team members,4-5,"Caroline Allen, Jackson Archer, Walter Baldwin, Sarah Botti, Brooks Breedlove, Reese Chatman, Noah Diaz, Heidi Dillow, Lara Doorn, Eden Edwards, Evie Erickson, Tara Beth Forehand, Brock Freeland, Victoria Hemphill, Elise Hof, Nikolas Jones, Noah Kent, Hannah Nelson, Noah Powers, Lillian Savage, Lauren Wagner, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:36:26,North Carolina,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,No,Prior relationship with candidates,Confidence,Individual,Yes,Slightly,Campaign team members,6+,"Jeffrey Baker, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Reese Chatman, Noah Diaz, Lara Doorn, Evie Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Elise Hof, John Jordan, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Hannah Nelson, Noah Powers, Cassie Sawyer, Caleb Shirk, Macie Smith, Lauren Wagner, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:37:48,Indiana,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,No,Prior relationship with candidates,Humility,Individual,Yes,Very,Social Media presence,6+,"Caroline Allen, Jeffrey Baker, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Isaac Cullum, Noah Diaz, Wyatt Dillard, Heidi Dillow, Eden Edwards, Evie Erickson, Tara Beth Forehand, Brock Freeland, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, John Jordan, Noah Kent, Caleb Knapp, Tylah Lynn, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Macie Smith, John Sprayberry, Linnea Stuart, Colton Taussig, Jacques Thibodeaux, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Leah Wilson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:37:48,Indiana,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,No,Prior relationship with candidates,Leads by example,Message,Yes,Very,Campaign team members,2-3,"Jeffrey Baker, Sarah Botti, Reese Chatman, Noah Diaz, Eden Edwards, Brock Freeland, Marisa Garcia, John Jordan, Cassie Sawyer, Linnea Stuart, Luke Willson"
5/18/2021 12:38:17,Connecticut,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,Yes,Prior relationship with candidates,Kindness,Individual,No,Very,Campaign team members,4-5,"Walter Baldwin, Bruce Bigler, Libby Bova, Jake Brietzke, Isaac Cullum, Noah Diaz, Evie Erickson, Tara Beth Forehand, Daniel McCarthy, Noah Powers, Caleb Shirk, Leah Wilson, Whitnie Yoder, Max Zepeda"
5/18/2021 12:38:36,North Carolina,Yes,Perseverance,Yes,Luke Wilson/Noah Diaz,Yes,Performance during debates,Leads by example,Individual,Yes,Slightly,Campaign team members,4-5,"Jeffrey Baker, Walter Baldwin, Beth Berry, Madalyn Bizak, Sarah Botti, Libby Bova, Brooks Breedlove, Jake Brietzke, Reese Chatman, Noah Diaz, Heidi Dillow, Eden Edwards, Myra Ehrenberg, Evie Erickson, Dannen Farabee, Tara Beth Forehand, Brock Freeland, Marisa Garcia, Lydia Graham, Caleb Griffin, Caleb Hahn, Victoria Hemphill, Elise Hof, John Jordan, Caleb Knapp, Tylah Lynn, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Nathaniel Olaires, Rhianna Philcox, Brennan Roub, Lillian Savage, Cassie Sawyer, Caleb Shirk, Corban smith, Macie Smith, John Sprayberry, Linnea Stuart, Colton Taussig, Lauren Wagner, Wynn Waldbeser, Elizabeth Williams, Luke Willson, Chloe Jo Woodell, Ethan Wright, Whitnie Yoder, Max Zepeda"
5/18/2021 12:38:39,Texas,Yes,Vision,Yes,Elise Hof/Brock Freeland,Yes,Campaign team outreach,Kindness,Message,Yes,Very,Campaign team members,2-3,"Caroline Allen, Madalyn Bizak, Sarah Botti, Libby Bova, Jake Brietzke, Kinley Chapa, Reese Chatman, Noah Diaz, Wyatt Dillard, Heidi Dillow, Lara Doorn, Eden Edwards, Evie Erickson, Tara Beth Forehand, Brock Freeland, Marisa Garcia, Lydia Graham, Caleb Griffin, Elise Hof, Madison Hunsucker, John Jordan, Noah Kent, Caleb Knapp, Brooklyn Manning, Grant May, Daniel McCarthy, Jamison Murabito, Hannah Nelson, Rhianna Philcox, Marco Pineda, Noah Powers, Brennan Roub, Lillian Savage, Luke Willson, Chloe Jo Woodell, Whitnie Yoder, Max Zepeda"
5/18/2021 12:38:57,West Virginia,Yes,Perseverance,Yes,Walt Baldwin/Cassie Sawyer,No,Prior relationship with candidates,Open-mindedness,Individual,Yes,Very,Campaign team members,This is my first year,"Walter Baldwin, Libby Bova, Noah Diaz, Heidi Dillow, Lara Doorn, Lydia Graham, Caleb Griffin, Caleb Hahn, Micah Hill, Grant May, Cassie Sawyer"
