Submission ID,Last updated,Submission started,Status,Current step,Gender,State,Party,Have you decided on a presidential ticket?,Vote,"If you voted today, which ticket would you choose?",Errors,Url,Network ID
e676684e-4648-40f4-b22d-ae9ab51050de,Mon May 19 2025 17:28:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 17:28:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Male,Virginia,N/A (chaperones/staff),No,,Evan Duncan/Joy Southerland,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=e676684e-4648-40f4-b22d-ae9ab51050de,2bb4543ee54b0e89247f184bebfa8661
5d09157b-e56a-4baf-a912-e1edf0e30877,Mon May 19 2025 17:05:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 17:05:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Female,Missouri,N/A (chaperones/staff),No,,Joseph Jackson/Gianna Willson,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=5d09157b-e56a-4baf-a912-e1edf0e30877,880f5728b9e06066e47cb3717c80ea20
f7d99580-b467-4472-9ad0-182fec096ec6,Mon May 19 2025 17:05:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 17:05:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Female,Nebraska,N/A (chaperones/staff),No,,I don't know any of the candidates,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=f7d99580-b467-4472-9ad0-182fec096ec6,880f5728b9e06066e47cb3717c80ea20
ac94c4b0-1d83-4d2a-bb38-f26317704fb8,Mon May 19 2025 17:03:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 17:03:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Female,Virginia,Compassion,No,,Jed Sicilia/Marie Timmons,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=ac94c4b0-1d83-4d2a-bb38-f26317704fb8,880f5728b9e06066e47cb3717c80ea20
6cbef2f6-9480-480e-a0bd-3b093766dc74,Mon May 19 2025 17:01:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 17:01:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Female,New York,N/A (chaperones/staff),Yes,Evan Duncan/Joy Southerland,,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=6cbef2f6-9480-480e-a0bd-3b093766dc74,880f5728b9e06066e47cb3717c80ea20
9e9a268b-e4e3-4eec-9f16-996d9705f04c,Mon May 19 2025 16:52:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 16:52:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Male,Florida,Vision,Yes,Will Sox/Simeon Paolicelli,,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=9e9a268b-e4e3-4eec-9f16-996d9705f04c,880f5728b9e06066e47cb3717c80ea20
5ef05348-99b1-494e-ac74-0e4bf049069a,Mon May 19 2025 16:52:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 16:52:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Male,Florida,N/A (chaperones/staff),No,,Isaac Powers/Enrique Rodriguez,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=5ef05348-99b1-494e-ac74-0e4bf049069a,2903a8ed9d7e8fa53f35a3eb673c3297
25467b07-cf3c-4081-8569-14360a226ad9,Mon May 19 2025 16:51:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 16:51:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Male,Florida,Compassion,No,,Will Sox/Simeon Paolicelli,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=25467b07-cf3c-4081-8569-14360a226ad9,880f5728b9e06066e47cb3717c80ea20
48590d9e-5dc7-4c8b-a175-bd5ecf9ef823,Mon May 19 2025 16:51:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 16:51:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Female,Florida,Perseverance,No,,Isaac Powers/Enrique Rodriguez,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=48590d9e-5dc7-4c8b-a175-bd5ecf9ef823,2903a8ed9d7e8fa53f35a3eb673c3297
842e1b52-0b75-4001-a2d2-bdb6a76d3e9b,Mon May 19 2025 16:51:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 16:51:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Female,Florida,Compassion,No,,Micah Carr/AnnaCatherine Hammett,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=842e1b52-0b75-4001-a2d2-bdb6a76d3e9b,f2a7190a99ccbed32fd2f2e1bf7187bd
bccca4a6-6784-45ab-bb12-5e20c97021b1,Mon May 19 2025 16:50:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 16:50:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Male,Florida,Vision,No,,Joseph Jackson/Gianna Willson,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=bccca4a6-6784-45ab-bb12-5e20c97021b1,f2a7190a99ccbed32fd2f2e1bf7187bd
c5c362c1-3faa-4c3d-8e22-bec07023e4ca,Mon May 19 2025 16:50:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 16:50:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Female,Florida,Vision,No,,I don't know any of the candidates,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=c5c362c1-3faa-4c3d-8e22-bec07023e4ca,880f5728b9e06066e47cb3717c80ea20
2250d13a-f6fe-4e8c-8ed7-9d49fe367093,Mon May 19 2025 16:50:00 GMT-0400 (Eastern Daylight Time),Mon May 19 2025 16:50:00 GMT-0400 (Eastern Daylight Time),finished,Ending,Male,Florida,Vision,Yes,Isaac Powers/Enrique Rodriguez,,None,https://build.fillout.com/editor/rbjZvr1f9Pus/results?sessionId=2250d13a-f6fe-4e8c-8ed7-9d49fe367093,f2a7190a99ccbed32fd2f2e1bf7187bd
