"Submission ID","Last updated","Submission started","Status","Current step","State","What is your gender?"," Have you previously attended NatCon?","Party","How much did your party's platform influence your decision to register in that party?","Have you decided on a presidential ticket?","What is the primary reason you are currently undecided?","Vote","Which of the following reasons would be most likely to change your decisions?","How likely are you to vote for a candidate with a large/active campaign GroupMe?","Rank the following campaign elements from most to least influential in your decision to vote for a candidate.","Which of the following candidate names do you recognize?","Errors","Url","Network ID"
"a69b2f9c-e5e3-41ba-8923-1d6ebbed1af5","Fri May 16 2025 01:25:00 GMT-0400 (Eastern Daylight Time)","Fri May 16 2025 01:22:00 GMT-0400 (Eastern Daylight Time)","finished","Ending","Texas","Male","Yes","N/A (Absentee Votes)","N/A","No","I am familiar with multiple presidential tickets, but I am waiting to decide until the week of voting","Jacob Redd/Caleb Sartor","Another candidate impressed me more with their public speaking/debate performance","A candidate's GroupMe does not affect my vote","Performance in Debates/Open Forums,Message/Vision for TeenPact,Campaign Team Involvement,Social Media/Branding,GroupMe Presence","Abigail Hendricks,Aiden White,Anabelle Harris,Caleb Sartor,Clark Bigler,David Treder,Grace Muller,Greyson Davis,Isaac Powers,Jack Holt,Jacob Redd,Joseph Jackson,Joseph Robar,Joy Southerland,Matthew Fitzgerald,Micah Carr,Valerie Yoder,Will Sox,Wyatt Marx,Zeke Harper","None","https://build.fillout.com/editor/tCM39Fdh14us/results?sessionId=a69b2f9c-e5e3-41ba-8923-1d6ebbed1af5","26b1c172a614ebfb2dfc38bfb7189eea"
"d5773842-4ae0-4798-b137-18e419bc78b4","Thu May 15 2025 23:18:00 GMT-0400 (Eastern Daylight Time)","Thu May 15 2025 23:15:00 GMT-0400 (Eastern Daylight Time)","finished","Ending","Oregon","Male","Yes","Independent (NatCon Parents, Event Staff)","N/A","Yes","","Jed Sicilia/Marie Timmons","Another candidate convinced me of their vision for TeenPact through their message","A candidate's GroupMe does not affect my vote","Message/Vision for TeenPact,Performance in Debates/Open Forums,Campaign Team Involvement,GroupMe Presence,Social Media/Branding","Jed Sicilia,Judah Townsend,Levi Gray,Marie Timmons","None","https://build.fillout.com/editor/tCM39Fdh14us/results?sessionId=d5773842-4ae0-4798-b137-18e419bc78b4","3bb49a703890c7473e61791524ca4813"
"e3c8bb04-ef66-4849-8e59-b1bda58704f3","Thu May 15 2025 22:53:00 GMT-0400 (Eastern Daylight Time)","Thu May 15 2025 22:48:00 GMT-0400 (Eastern Daylight Time)","finished","Ending","Florida","Female ","No","N/A (Absentee Votes)","N/A","No","I am familiar with multiple presidential tickets, but I am waiting to decide until the week of voting","Micah Carr/AnnaCatherine Hammett","I had a meaningful personal interaction with another candidate","I am more likely to vote for a candidate with a large/active GroupMe","GroupMe Presence,Performance in Debates/Open Forums,Message/Vision for TeenPact,Campaign Team Involvement,Social Media/Branding","AnnaCatherine Hammett,Caleb Sartor,Davi Oliveira,Enrique Rodriguez,Evan Duncan,Garrett Sawyer,Grace Franklin,Grace Muller,Greyson Davis,Isaac Powers,Jack Holt,Jacob Enright,Jacob Redd,Jessica Veth,Levi Allen,Max Sheppard,Micah Carr,Reagan McCollum,Samuel Van Cleave,Seth Parkison,Zechariah Zalak,Zeke Harper","None","https://build.fillout.com/editor/tCM39Fdh14us/results?sessionId=e3c8bb04-ef66-4849-8e59-b1bda58704f3","9585a0a4f9a534621783f12b83e61f28"
"1aa799d3-4756-46ba-9b0c-7732160e1e58","Thu May 15 2025 22:37:00 GMT-0400 (Eastern Daylight Time)","Thu May 15 2025 22:19:00 GMT-0400 (Eastern Daylight Time)","finished","Ending","Mississippi","Male","Yes","Vision","A significant amount","Yes","","Micah Carr/AnnaCatherine Hammett","I had a meaningful personal interaction with another candidate","A candidate's GroupMe does not affect my vote","Performance in Debates/Open Forums,Message/Vision for TeenPact,Social Media/Branding,Campaign Team Involvement,GroupMe Presence","Abby Hall,Abigail Esch,Abigail Hendricks,Anabelle Harris,Anna Reynolds,AnnaCatherine Hammett,Audrey McCormick,Avery Lafferty,Bella Roose,Brenna McCarthy,Brody Aulds,Brody Morgan,Caleb Griffin,Caleb Kamuiru,Caleb Sartor,Camp Fisher,Chesed Vess,Clark Bigler,Coen Hefley,Cooper Holt,Davi Oliveira,David Otero,David Treder,Dane Williams,Ella Slye,Elsie Bomer,Enrique Rodriguez,Evan Duncan,Faith Franklin,Garrett Sawyer,Geb McKee,Gideon Halterman,Grace Franklin,Grace Muller,Greyson Davis,Griffin Witt,Henry Vaughan,Ian Kotronis,Isaac Powers,Isaac Stevens,Jack Holt,Jacob Enright,Jacob Redd,Jared Werner,Jessica Veth,Jed Sicilia,Joseph Jackson,Joy Southerland,Judah Townsend,Jonas Ascol,Kaydence Thibault,Kolton Olson,Levi Allen,Logan Sonnenfeld,Macy McMillian,Madden Hoffman,Marie Timmons,Mary Shirk,Max Sheppard,Micah Carr,Nate Verboncoeur,Peter Channell,Porter Greenblatt,Quinn Anderson,Reagan McCollum,Rebecca Graham,Samara Brown,Samuel Brezina,Samantha Ehrenberg,Selah Strassheim,Simeon Paolicelli,Sofia Rybkin,Susie Erickson,Tayva Upgren,Valerie Yoder,Will Sox,Wyatt Marx,Zekariah Smith,Zeke Harper","None","https://build.fillout.com/editor/tCM39Fdh14us/results?sessionId=1aa799d3-4756-46ba-9b0c-7732160e1e58","487622f1618ef769e0d43c4c84bcd1ea"
"6d533dcd-399b-42a0-8de7-8b100b0af354","Thu May 15 2025 19:18:00 GMT-0400 (Eastern Daylight Time)","Thu May 15 2025 19:14:00 GMT-0400 (Eastern Daylight Time)","finished","Ending","Texas","Female ","No","Perseverance","None","No","I am familiar with multiple presidential tickets, but I am waiting to decide until the week of voting","Isaac Stevens/Chesed Vess","Another candidate impressed me more with their public speaking/debate performance","A candidate's GroupMe does not affect my vote","Message/Vision for TeenPact,Performance in Debates/Open Forums,Social Media/Branding,Campaign Team Involvement,GroupMe Presence","Avery Lafferty,Caleb Kamuiru,Chesed Vess,Davi Oliveira,David Otero,Garrett Sawyer,Grace Franklin,Greyson Davis,Griffin Witt,Henry Vaughan,Isaac Powers,Isaac Stevens,Jacob Enright,Jed Sicilia,Joseph Jackson,Kolton Olson,Max Sheppard,Rebecca Graham,Samara Brown,Simeon Paolicelli,Will Sox,Wyatt Marx,Zeke Harper","None","https://build.fillout.com/editor/tCM39Fdh14us/results?sessionId=6d533dcd-399b-42a0-8de7-8b100b0af354","ba85379f8c5f1d8981001745c81a7efa"
"ccbe27b2-b27c-40c5-97e5-59a3c900e868","Thu May 15 2025 18:49:00 GMT-0400 (Eastern Daylight Time)","Wed May 14 2025 17:05:00 GMT-0400 (Eastern Daylight Time)","finished","Ending","South Carolina","Female ","No","N/A (Absentee Votes)","A little bit","No","I am familiar with multiple presidential tickets, but I am waiting to decide until the week of voting","Will Sox/Simeon Paolicelli ","Another candidate impressed me more with their social media/online presence","I am more likely to vote for a candidate with a large/active GroupMe","GroupMe Presence,Message/Vision for TeenPact,Social Media/Branding,Performance in Debates/Open Forums,Campaign Team Involvement","AnnaCatherine Hammett,Jonas Ascol,Tayva Upgren","None","https://build.fillout.com/editor/tCM39Fdh14us/results?sessionId=ccbe27b2-b27c-40c5-97e5-59a3c900e868","820c43e4791c1523c8334ac410a27a8b"
"2a1ebd23-e38d-4b05-85c3-764c6a471230","Thu May 15 2025 18:43:00 GMT-0400 (Eastern Daylight Time)","Thu May 15 2025 18:36:00 GMT-0400 (Eastern Daylight Time)","finished","Ending","Arkansas","Female ","No","Vision","A significant amount","No","I am familiar with multiple presidential tickets, but I am waiting to decide until the week of voting","Clark Bigler/Grace Franklin","Another candidate convinced me of their vision for TeenPact through their message","A candidate's GroupMe does not affect my vote","Message/Vision for TeenPact,Performance in Debates/Open Forums,Campaign Team Involvement,Social Media/Branding,GroupMe Presence","Abby Hall,Anna Reynolds,Clark Bigler,Isaac Powers,Logan Boswell,Marie Timmons,Tayva Upgren","None","https://build.fillout.com/editor/tCM39Fdh14us/results?sessionId=2a1ebd23-e38d-4b05-85c3-764c6a471230","10ca98a7d91edac513e63394127ad82d"
"bc0ca8a1-b964-4608-8027-014587bbcf31","Thu May 15 2025 17:33:00 GMT-0400 (Eastern Daylight Time)","Thu May 15 2025 17:28:00 GMT-0400 (Eastern Daylight Time)","finished","Ending","North Carolina","Female ","No","Compassion ","None","No","I don't know any candidates","Clark Bigler/Grace Franklin","I had a meaningful personal interaction with another candidate","I am less likely to vote for a candidate with a GroupMe","Message/Vision for TeenPact,Performance in Debates/Open Forums,Social Media/Branding,Campaign Team Involvement,GroupMe Presence","Caleb Kamuiru,David Moore,Grace Franklin,Joseph Jackson,Micah Adams,Will Harrill,Will Miller","None","https://build.fillout.com/editor/tCM39Fdh14us/results?sessionId=bc0ca8a1-b964-4608-8027-014587bbcf31","26f47a4df40640558d5608a7eb707007"
"86062d9d-de04-44d5-921d-9651a60bf413","Thu May 15 2025 16:20:00 GMT-0400 (Eastern Daylight Time)","Thu May 15 2025 16:18:00 GMT-0400 (Eastern Daylight Time)","finished","Ending","Louisiana","Male","Yes","N/A (Absentee Votes)","N/A","Yes","","Camp Fisher/Brody Aulds","Another candidate convinced me of their vision for TeenPact through their message","A candidate's GroupMe does not affect my vote","Campaign Team Involvement,Performance in Debates/Open Forums,Social Media/Branding,Message/Vision for TeenPact,GroupMe Presence","Caleb Kamuiru,Camp Fisher,Chesed Vess,Isaac Powers,Joy Southerland","None","https://build.fillout.com/editor/tCM39Fdh14us/results?sessionId=86062d9d-de04-44d5-921d-9651a60bf413","ce7faf03a6a8a31215032ad7eef4615c"
"f98437bb-37e9-4dd9-97cb-269c366c1238","Thu May 15 2025 15:24:00 GMT-0400 (Eastern Daylight Time)","Thu May 15 2025 15:18:00 GMT-0400 (Eastern Daylight Time)","finished","Ending","Alabama","Female ","Yes","Independent (NatCon Parents, Event Staff)","N/A","Yes","","Isaac Stevens/Chesed Vess","Another candidate convinced me of their vision for TeenPact through their message","A candidate's GroupMe does not affect my vote","Performance in Debates/Open Forums,Campaign Team Involvement,Message/Vision for TeenPact,Social Media/Branding,GroupMe Presence","Caleb Sartor,Eli Liebbe,Ella Slye,Mary Shirk,Samuel Van Cleave","None","https://build.fillout.com/editor/tCM39Fdh14us/results?sessionId=f98437bb-37e9-4dd9-97cb-269c366c1238","32e9cabd7443aff3c7b9a817019be80c"
