state,sims_p,sims_v,sims_c,sims_w
AL,1.0,0.0,0.0,1.0
AK,1.0,0.0,0.0,1.0
AZ,1.0,0.0,0.0,1.0
AR,1.0,0.0,0.0,1.0
CA,1.0,0.0,0.0,1.0
CO,1.0,0.0,0.0,1.0
CT,0.771,0.229,0.0,0.771
DE,1.0,0.0,0.0,1.0
FL,0.0,1.0,0.0,0.0
GA,1.0,0.0,0.0,1.0
HI,0.336,0.319,0.345,0.336
ID,1.0,0.0,0.0,1.0
IL,1.0,0.0,0.0,1.0
IN,1.0,0.0,0.0,1.0
IA,1.0,0.0,0.0,1.0
KS,0.0,1.0,0.0,0.0
KY,1.0,0.0,0.0,1.0
LA,1.0,0.0,0.0,1.0
ME,1.0,0.0,0.0,1.0
MD,1.0,0.0,0.0,1.0
MA,0.337,0.327,0.336,0.337
MI,0.0,1.0,0.0,0.0
MN,1.0,0.0,0.0,1.0
MS,1.0,0.0,0.0,1.0
MO,0.0,0.0,1.0,0.0
MT,0.0,1.0,0.0,0.0
NE,1.0,0.0,0.0,1.0
NV,1.0,0.0,0.0,1.0
NH,1.0,0.0,0.0,1.0
NJ,0.325,0.322,0.353,0.325
NM,1.0,0.0,0.0,1.0
NY,1.0,0.0,0.0,1.0
NC,1.0,0.0,0.0,1.0
ND,1.0,0.0,0.0,1.0
OH,1.0,0.0,0.0,1.0
OK,1.0,0.0,0.0,1.0
OR,0.0,0.0,1.0,0.0
PA,1.0,0.0,0.0,1.0
RI,0.356,0.311,0.333,0.356
SC,1.0,0.0,0.0,1.0
SD,1.0,0.0,0.0,1.0
TN,1.0,0.0,0.0,1.0
TX,1.0,0.0,0.0,1.0
UT,1.0,0.0,0.0,1.0
VT,1.0,0.0,0.0,1.0
VA,1.0,0.0,0.0,1.0
WA,1.0,0.0,0.0,1.0
WV,1.0,0.0,0.0,1.0
WI,1.0,0.0,0.0,1.0
WY,1.0,0.0,0.0,1.0
